old_url,mechanizam,url_u_browseru,servira_se,http_status,napomena
"https://dermotin.rs/","nativno (ruta postoji i na novom sajtu)","/","/rs","200",""
"https://dermotin.rs/bg/cart","REDIRECT 301","/rs/checkout","/rs/checkout","200",""
"https://dermotin.rs/bg/checkout","REDIRECT 301","/rs/checkout","/rs/checkout","200",""
"https://dermotin.rs/bg/checkouts/biomelis","REWRITE (URL ostaje isti)","/bg/checkouts/biomelis","/rs/checkouts/biomelis","200",""
"https://dermotin.rs/bg/checkouts/biowart","REWRITE (URL ostaje isti)","/bg/checkouts/biowart","/rs/checkouts/biowart","200",""
"https://dermotin.rs/bg/checkouts/checkout","REDIRECT 301","/rs/checkout","/rs/checkout","200",""
"https://dermotin.rs/bg/checkouts/fungel","REWRITE (URL ostaje isti)","/bg/checkouts/fungel","/rs/checkouts/fungel","200",""
"https://dermotin.rs/bg/contact","REDIRECT 301","/rs/contact","/rs/contact","200",""
"https://dermotin.rs/bg/cookie-policy","REDIRECT 301","/rs","/rs","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/bg/elementor-hf/footer-redizajniran-paki-bg","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/bg/elementor-hf/header-bg","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/bg/faq","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/bg/home","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/bg/imprint","REDIRECT 301","/rs","/rs","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/bg/order-confirmed/thank-you-bg","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/bg/order-confirmed/thank-you-page-11","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/bg/privacy-statement","REDIRECT 301","/rs","/rs","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/bg/product-category/nekategorizovano-bg","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/bg/product/biomelis","REWRITE (URL ostaje isti)","/bg/product/biomelis","/rs/products/biomelis","200",""
"https://dermotin.rs/bg/product/biowart","REWRITE (URL ostaje isti)","/bg/product/biowart","/rs/products/biowart","200",""
"https://dermotin.rs/bg/product/fungel","REWRITE (URL ostaje isti)","/bg/product/fungel","/rs/products/fungel","200",""
"https://dermotin.rs/bg/shop","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/bg/terms-and-conditions","REDIRECT 301","/rs","/rs","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/bs/cart","REDIRECT 301","/ba/checkout","/ba/checkout","200",""
"https://dermotin.rs/bs/cesta-pitanja","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.rs/bs/checkout","REDIRECT 301","/ba/checkout","/ba/checkout","200",""
"https://dermotin.rs/bs/checkouts/biomelis","REWRITE (URL ostaje isti)","/bs/checkouts/biomelis","/ba/checkouts/biomelis","200",""
"https://dermotin.rs/bs/checkouts/biomelis-v3","REWRITE (URL ostaje isti)","/bs/checkouts/biomelis-v3","/ba/checkouts/biomelis","200",""
"https://dermotin.rs/bs/checkouts/bioroid","REWRITE (URL ostaje isti)","/bs/checkouts/bioroid","/ba/checkouts/bioroid","200",""
"https://dermotin.rs/bs/checkouts/biowart","REWRITE (URL ostaje isti)","/bs/checkouts/biowart","/ba/checkouts/biowart","200",""
"https://dermotin.rs/bs/checkouts/biowart-v3","REWRITE (URL ostaje isti)","/bs/checkouts/biowart-v3","/ba/checkouts/biowart","200",""
"https://dermotin.rs/bs/checkouts/fungel","REWRITE (URL ostaje isti)","/bs/checkouts/fungel","/ba/checkouts/fungel","200",""
"https://dermotin.rs/bs/checkouts/fungel-v3","REWRITE (URL ostaje isti)","/bs/checkouts/fungel-v3","/ba/checkouts/fungel","200",""
"https://dermotin.rs/bs/checkouts/fungomax","REWRITE (URL ostaje isti)","/bs/checkouts/fungomax","/ba/checkouts/fungomax","200",""
"https://dermotin.rs/bs/elementor-hf/footer-novi-footer-2","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.rs/bs/elementor-hf/footer-refizajniran-paki-ba","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.rs/bs/elementor-hf/header","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.rs/bs/kontakt","REDIRECT 301","/ba/contact","/ba/contact","200",""
"https://dermotin.rs/bs/pocetna-bosanski","REDIRECT 301","/ba","/ba","200",""
"https://dermotin.rs/bs/politika-privatnosti","REDIRECT 301","/ba","/ba","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/bs/product-category/uncategorized-bs","REDIRECT 301","/ba/products","/ba/products","200",""
"https://dermotin.rs/bs/product/biomelis","REWRITE (URL ostaje isti)","/bs/product/biomelis","/ba/products/biomelis","200",""
"https://dermotin.rs/bs/product/bioroid","REWRITE (URL ostaje isti)","/bs/product/bioroid","/ba/products/bioroid","200",""
"https://dermotin.rs/bs/product/biowart","REWRITE (URL ostaje isti)","/bs/product/biowart","/ba/products/biowart","200",""
"https://dermotin.rs/bs/product/fungel","REWRITE (URL ostaje isti)","/bs/product/fungel","/ba/products/fungel","200",""
"https://dermotin.rs/bs/product/fungomax","REWRITE (URL ostaje isti)","/bs/product/fungomax","/ba/products/fungomax","200",""
"https://dermotin.rs/bs/shop","REDIRECT 301","/ba/products","/ba/products","200",""
"https://dermotin.rs/bs/uslovi-koriscenja","REDIRECT 301","/ba","/ba","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/cart","REDIRECT 301","/rs/checkout","/rs/checkout","200",""
"https://dermotin.rs/cesta-pitanja","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/checkout","REDIRECT 301","/rs/checkout","/rs/checkout","200",""
"https://dermotin.rs/checkouts/biomelis-kapi","REWRITE (URL ostaje isti)","/checkouts/biomelis-kapi","/rs/checkouts/biomelis-kapi","200",""
"https://dermotin.rs/checkouts/biomelis-v2","REWRITE (URL ostaje isti)","/checkouts/biomelis-v2","/rs/checkouts/biomelis","200",""
"https://dermotin.rs/checkouts/bioroid","REWRITE (URL ostaje isti)","/checkouts/bioroid","/rs/checkouts/bioroid","200",""
"https://dermotin.rs/checkouts/bioroid-kapi","REWRITE (URL ostaje isti)","/checkouts/bioroid-kapi","/rs/checkouts/bioroid-kapi","200",""
"https://dermotin.rs/checkouts/bioroid-set","REWRITE (URL ostaje isti)","/checkouts/bioroid-set","/rs/checkouts/bioroid","200","SET proizvod (melem+kapi) ne postoji na novom sajtu - servira se bioroid funnel. PREPORUKA: dodati set kao proizvod."
"https://dermotin.rs/checkouts/biowart-v1","REWRITE (URL ostaje isti)","/checkouts/biowart-v1","/rs/checkouts/biowart","200",""
"https://dermotin.rs/checkouts/biowart-v3","REWRITE (URL ostaje isti)","/checkouts/biowart-v3","/rs/checkouts/biowart","200",""
"https://dermotin.rs/checkouts/checkout-ba","REWRITE (URL ostaje isti)","/checkouts/checkout-ba","/ba/checkout","200",""
"https://dermotin.rs/checkouts/fungel-v1","REWRITE (URL ostaje isti)","/checkouts/fungel-v1","/rs/checkouts/fungel","200",""
"https://dermotin.rs/checkouts/fungomax","REWRITE (URL ostaje isti)","/checkouts/fungomax","/rs/checkouts/fungomax","200",""
"https://dermotin.rs/checkouts/immunis-kapi","REWRITE (URL ostaje isti)","/checkouts/immunis-kapi","/rs/checkouts/immunis-kapi","200",""
"https://dermotin.rs/checkouts/smania-copy","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/checkouts/wfacp_preview1","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/elementor-hf/elementor-43076","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/elementor-hf/footer-redizajniran-paki","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/elementor-hf/header","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/elementskit-content/dynamic-content-widget-6c91da9-8a51bc8","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/elementskit-content/dynamic-content-widget-popup-5665e86","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/hr/pocetna-2","REDIRECT 301","/rs","/rs","200",""
"https://dermotin.rs/kontakt","REDIRECT 301","/rs/contact","/rs/contact","200",""
"https://dermotin.rs/me/cart","REDIRECT 301","/me/checkout","/me/checkout","200",""
"https://dermotin.rs/me/cesta-pitanja","REDIRECT 301","/me","/me","200",""
"https://dermotin.rs/me/checkout","nativno (ruta postoji i na novom sajtu)","/me/checkout","/me/checkout","200",""
"https://dermotin.rs/me/checkouts/biomelis","nativno (ruta postoji i na novom sajtu)","/me/checkouts/biomelis","/me/checkouts/biomelis","200",""
"https://dermotin.rs/me/checkouts/bioroid","REDIRECT 301","/me/products","/me/products","200","bioroid nije u ME katalogu novog sajta. PREPORUKA: dodati bioroid u me/products.ts ako se prodaje u CG."
"https://dermotin.rs/me/checkouts/biowart","nativno (ruta postoji i na novom sajtu)","/me/checkouts/biowart","/me/checkouts/biowart","200",""
"https://dermotin.rs/me/checkouts/biowart-v3","REWRITE (URL ostaje isti)","/me/checkouts/biowart-v3","/me/checkouts/biowart","200",""
"https://dermotin.rs/me/checkouts/fungel","nativno (ruta postoji i na novom sajtu)","/me/checkouts/fungel","/me/checkouts/fungel","200",""
"https://dermotin.rs/me/checkouts/fungomax","nativno (ruta postoji i na novom sajtu)","/me/checkouts/fungomax","/me/checkouts/fungomax","200",""
"https://dermotin.rs/me/checkouts/wfacp_preview1-2","REDIRECT 301","/me","/me","200",""
"https://dermotin.rs/me/elementor-hf/footer-novi-footer","REDIRECT 301","/me","/me","200",""
"https://dermotin.rs/me/elementor-hf/footer-redizajniran-paki-me","REDIRECT 301","/me","/me","200",""
"https://dermotin.rs/me/elementor-hf/header","REDIRECT 301","/me","/me","200",""
"https://dermotin.rs/me/kontakt","REDIRECT 301","/me/contact","/me/contact","200",""
"https://dermotin.rs/me/pocetna-crnogorski","REDIRECT 301","/me","/me","200",""
"https://dermotin.rs/me/politika-privatnosti","REDIRECT 301","/me","/me","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/me/product-category/nekategorizovano-me","REDIRECT 301","/me/products","/me/products","200",""
"https://dermotin.rs/me/product/biomelis","REWRITE (URL ostaje isti)","/me/product/biomelis","/me/products/biomelis","200",""
"https://dermotin.rs/me/product/bioroid","REDIRECT 301","/me/products","/me/products","200","bioroid nije u ME katalogu novog sajta."
"https://dermotin.rs/me/product/biowart","REWRITE (URL ostaje isti)","/me/product/biowart","/me/products/biowart","200",""
"https://dermotin.rs/me/product/fungel","REWRITE (URL ostaje isti)","/me/product/fungel","/me/products/fungel","200",""
"https://dermotin.rs/me/product/fungomax","REWRITE (URL ostaje isti)","/me/product/fungomax","/me/products/fungomax","200",""
"https://dermotin.rs/me/shop","REDIRECT 301","/me/products","/me/products","200",""
"https://dermotin.rs/me/uslovi-koriscenja","REDIRECT 301","/me","/me","200","Pravni sadrzaj je na novom sajtu u footer modalima."
"https://dermotin.rs/offer/akcija-1-1-3-2","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/offer/akcija-1-1-3-3","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/offer/akcija-1-1-3-4","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/offer/akcija-1-1-3-5","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/offer/akcija-1-1-3-6","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/offer/akcija-1-1-3-7","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/offer/akcija-1-1-3-8","REDIRECT 301","/rs/products","/rs/products","200",""
"https://dermotin.rs/offer/bioroid-kapi","REDIRECT 301","/rs/checkouts/bioroid-kapi","/rs/checkouts/bioroid-kapi","200",""
"https://dermotin.rs/offer/crn","REDIRECT 301","/me/products","/me/products","200",""
"https://dermotin.rs/offer/immunis-kapi","REDIRECT 301","/rs/checkouts/immunis-kapi","/rs/checkouts/immunis-kapi","200",""
"https://dermotin.rs/offer/immunis-kapi-2","REDIRECT 301","/rs/checkouts/immunis-kapi","/rs/checkouts/immunis-kapi","200",""
"https://dermotin.rs/order-confirmed/hvala-na-porudzbini","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/hvala-na-porudzbini-ba","REDIRECT 301","/ba/thank-you","/ba/thank-you","200",""
"https://dermotin.rs/order-confirmed/hvala-na-porudzbini-copy","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-bg-copy","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-bg-copy-2","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-10","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-16","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-2","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-20","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-24","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-3","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-4","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-5","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-6","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-7","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-8","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-9","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-copy","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-copy-10","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-copy-11","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-copy-12","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-copy-2","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
"https://dermotin.rs/order-confirmed/thank-you-page-copy-3","REDIRECT 301","/rs/thank-you","/rs/thank-you","200",""
